Closing,Currency,Date,High,Low,Opening,Stock,Stock_name,Val_traded,Vol_traded,Board,Sector,pct,Return
0.81,MYR,2019/04/04,0.840,0.810,0.83,"=""0001""",SCOMNET,"1,957,664","2,364,300",ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES,-0.012195121951219412,0.0
1.63,MYR,2019/04/04,1.650,1.630,1.63,"=""0002""",KOTRA,"32,719","20,000",MAIN MARKET,HEALTH CARE,0.0,0.0
0.255,MYR,2019/04/04,0.260,0.250,0.26,"=""0005""",UCREST,"2,705,730","10,579,800",ACE MARKET,TECHNOLOGY,-0.019230769230769273,0.0
0.355,MYR,2019/04/04,0.000,0.000,0.0,"=""0006""",PINEAPP,0,0,ACE MARKET,TECHNOLOGY,0.0,0.0
0.095,MYR,2019/04/04,0.100,0.095,0.1,"=""0007""",PUC,"633,715","6,485,500",ACE MARKET,TELECOMMUNICATIONS & MEDIA,0.0,0.0
0.065,MYR,2019/04/04,0.065,0.065,0.065,"=""0007WA""",PUC-WA,"30,245","465,300",ACE MARKET,TELECOMMUNICATIONS & MEDIA,0.08333333333333348,1.0
0.46,MYR,2019/04/04,0.490,0.460,0.49,"=""0008""",WILLOW,"242,146","507,800",MAIN MARKET,TECHNOLOGY,-0.03157894736842093,0.0
0.15,MYR,2019/04/04,0.155,0.150,0.15,"=""0010""",IRIS,"1,253,235","8,340,200",ACE MARKET,TECHNOLOGY,0.0,0.0
0.265,MYR,2019/04/04,0.285,0.265,0.28,"=""0011""",BTECH,"1,023,704","3,740,000",ACE MARKET,UTILITIES,-0.07017543859649111,0.0
0.94,MYR,2019/04/04,0.950,0.935,0.94,"=""0012""",3A,"133,557","142,000",MAIN MARKET,CONSUMER PRODUCTS & SERVICES,0.0,0.0
0.055,MYR,2019/04/04,0.055,0.055,0.055,"=""0017""",M3TECH,"3,300","60,000",ACE MARKET,TELECOMMUNICATIONS & MEDIA,0.09999999999999987,1.0
0.005,MYR,2019/04/04,0.000,0.000,0.0,"=""0017WA""",M3TECH-WA,0,0,ACE MARKET,TELECOMMUNICATIONS & MEDIA,0.0,0.0
0.145,MYR,2019/04/04,0.150,0.140,0.14,"=""0018""",LAMBO,"649,839","4,493,200",ACE MARKET,TECHNOLOGY,0.0,0.0
0.015,MYR,2019/04/04,0.020,0.015,0.015,"=""0020""",NETX,"79,636","5,308,900",ACE MARKET,TECHNOLOGY,-0.25,0.0
0.005,MYR,2019/04/04,0.000,0.000,0.0,"=""0020WB""",NETX-WB,0,0,ACE MARKET,TECHNOLOGY,0.0,0.0
1.69,MYR,2019/04/04,1.700,1.680,1.7,"=""0021""",GHLSYS,"100,207","59,360",MAIN MARKET,TECHNOLOGY,0.0,0.0
0.105,MYR,2019/04/04,0.000,0.000,0.0,"=""0021CA""",GHLSYS-CA,0,0,STRCWARR,STRCWARR,0.0,0.0
0.075,MYR,2019/04/04,0.075,0.075,0.075,"=""0022""",PARLO,"30,000","400,000",ACE MARKET,CONSUMER PRODUCTS & SERVICES,0.0,0.0
0.44,MYR,2019/04/04,0.450,0.435,0.44,"=""0023""",IFCAMSC,"4,559,925","10,355,300",ACE MARKET,TECHNOLOGY,0.0,0.0
0.05,MYR,2019/04/04,0.055,0.045,0.05,"=""0024""",JAG,"880,350","16,806,312",ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES,0.0,0.0
0.005,MYR,2019/04/04,0.000,0.000,0.0,"=""0024WA""",JAG-WA,0,0,ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES,0.0,0.0
0.01,MYR,2019/04/04,0.010,0.010,0.01,"=""0024WB""",JAG-WB,"2,625","262,500",ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES,0.0,0.0
0.14,MYR,2019/04/04,0.140,0.135,0.135,"=""0025""",YBS,"35,120","260,000",ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES,0.03703703703703698,1.0
0.13,MYR,2019/04/04,0.130,0.125,0.13,"=""0026""",NOVAMSC,"416,215","3,209,300",ACE MARKET,TECHNOLOGY,0.0,0.0
0.235,MYR,2019/04/04,0.235,0.230,0.235,"=""0028""",SCOPE,"359,687","1,555,900",ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES,0.0,0.0
0.1,MYR,2019/04/04,0.100,0.095,0.1,"=""0028WA""",SCOPE-WA,"21,800","220,000",ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES,0.0,0.0
0.045,MYR,2019/04/04,0.045,0.045,0.045,"=""0029""",DIGISTA,"7,448","165,500",MAIN MARKET,TECHNOLOGY,0.0,0.0
0.015,MYR,2019/04/04,0.000,0.000,0.0,"=""0029WB""",DIGISTA-WB,0,0,MAIN MARKET,TECHNOLOGY,0.0,0.0
0.31,MYR,2019/04/04,0.320,0.305,0.315,"=""0032""",REDTONE,"215,188","694,500",ACE MARKET,TELECOMMUNICATIONS & MEDIA,-0.015873015873015928,0.0
0.11,MYR,2019/04/04,0.000,0.000,0.0,"=""0032LA""",REDTONE-LA,0,0,LOANS,TELECOMMUNICATIONS & MEDIA,0.0,0.0
0.22,MYR,2019/04/04,0.220,0.220,0.22,"=""0034""",MMAG,"9,900","45,000",ACE MARKET,TECHNOLOGY,0.023255813953488413,1.0
0.085,MYR,2019/04/04,0.000,0.000,0.0,"=""0034PA""",MMAG-PA,0,0,ACE MARKET,TECHNOLOGY,0.0,0.0
0.06,MYR,2019/04/04,0.000,0.000,0.0,"=""0034WB""",MMAG-WB,0,0,ACE MARKET,TECHNOLOGY,0.0,0.0
0.69,MYR,2019/04/04,0.710,0.685,0.69,"=""0035""",OPCOM,"1,132,943","1,624,200",ACE MARKET,TELECOMMUNICATIONS & MEDIA,0.0,0.0
0.045,MYR,2019/04/04,0.045,0.045,0.045,"=""0036""",KGROUP,"1,125","25,000",ACE MARKET,TECHNOLOGY,0.0,0.0
0.01,MYR,2019/04/04,0.010,0.010,0.01,"=""0036WB""",KGROUP-WB,500,"50,000",ACE MARKET,TECHNOLOGY,0.0,0.0
0.21,MYR,2019/04/04,0.210,0.205,0.21,"=""0037""",RGB,"454,999","2,176,816",MAIN MARKET,CONSUMER PRODUCTS & SERVICES,0.0,0.0
0.145,MYR,2019/04/04,0.150,0.140,0.15,"=""0038""",PTB,"23,200","160,000",ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES,-0.06451612903225812,0.0
0.525,MYR,2019/04/04,0.530,0.520,0.52,"=""0039""",GFM,"1,634,565","3,125,709",ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES,0.009615384615384581,1.0
0.34,MYR,2019/04/04,0.340,0.335,0.335,"=""0040""",OPENSYS,"86,398","257,900",ACE MARKET,TECHNOLOGY,0.030303030303030276,1.0
0.24,MYR,2019/04/04,0.240,0.240,0.24,"=""0041""",MYSCM,"60,528","252,250",MAIN MARKET,TECHNOLOGY,-0.040000000000000036,0.0
0.075,MYR,2019/04/04,0.080,0.075,0.075,"=""0043""",MTRONIC,"525,373","6,972,766",MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,-0.0625,0.0
