Closing,Currency,Date,High,Low,Opening,Stock,Stock_name,Val_traded,Vol_traded
0.820,MYR,03/04/2019,0.820,0.785,0.795,"=""0001""",SCOMNET,"1,960,731","2,432,300"
1.630,MYR,03/04/2019,1.660,1.630,1.660,"=""0002""",KOTRA,"32,975","20,000"
0.260,MYR,03/04/2019,0.265,0.250,0.260,"=""0005""",UCREST,"2,305,647","8,989,800"
0.355,MYR,03/04/2019,0.355,0.355,0.355,"=""0006""",PINEAPP,639,"1,800"
0.095,MYR,03/04/2019,0.100,0.095,0.095,"=""0007""",PUC,"454,193","4,756,500"
0.060,MYR,03/04/2019,0.070,0.060,0.065,"=""0007WA""",PUC-WA,"31,077","478,100"
0.475,MYR,03/04/2019,0.475,0.450,0.450,"=""0008""",WILLOW,"59,926","130,000"
0.150,MYR,03/04/2019,0.155,0.150,0.155,"=""0010""",IRIS,"1,176,883","7,831,400"
0.285,MYR,03/04/2019,0.335,0.275,0.330,"=""0011""",BTECH,"2,543,184","8,587,800"
0.940,MYR,03/04/2019,0.940,0.930,0.930,"=""0012""",3A,"88,430","94,900"
0.050,MYR,03/04/2019,0.050,0.050,0.050,"=""0017""",M3TECH,"45,160","903,200"
0.005,MYR,03/04/2019,0.000,0.000,0.000,"=""0017WA""",M3TECH-WA,0,0
0.145,MYR,03/04/2019,0.155,0.145,0.155,"=""0018""",LAMBO,"2,372,945","16,194,100"
0.020,MYR,03/04/2019,0.020,0.015,0.020,"=""0020""",NETX,"25,673","1,704,400"
0.005,MYR,03/04/2019,0.000,0.000,0.000,"=""0020WB""",NETX-WB,0,0
1.690,MYR,03/04/2019,1.740,1.690,1.690,"=""0021""",GHLSYS,"288,303","170,000"
0.105,MYR,03/04/2019,0.105,0.105,0.105,"=""0021CA""",GHLSYS-CA,"26,250","250,000"
0.075,MYR,03/04/2019,0.075,0.075,0.075,"=""0022""",PARLO,"45,000","600,000"
0.440,MYR,03/04/2019,0.445,0.435,0.435,"=""0023""",IFCAMSC,"2,766,476","6,297,300"
0.050,MYR,03/04/2019,0.050,0.045,0.050,"=""0024""",JAG,"59,975","1,237,569"
0.005,MYR,03/04/2019,0.000,0.000,0.000,"=""0024WA""",JAG-WA,0,0
0.010,MYR,03/04/2019,0.010,0.005,0.005,"=""0024WB""",JAG-WB,"5,148","1,029,499"
0.135,MYR,03/04/2019,0.135,0.130,0.130,"=""0025""",YBS,"15,950","120,000"
0.130,MYR,03/04/2019,0.135,0.130,0.130,"=""0026""",NOVAMSC,"383,013","2,938,200"
0.235,MYR,03/04/2019,0.250,0.235,0.235,"=""0028""",SCOPE,"1,107,029","4,574,900"
0.100,MYR,03/04/2019,0.105,0.095,0.100,"=""0028WA""",SCOPE-WA,"74,407","740,000"
0.045,MYR,03/04/2019,0.045,0.045,0.045,"=""0029""",DIGISTA,900,"20,000"
0.015,MYR,03/04/2019,0.000,0.000,0.000,"=""0029WB""",DIGISTA-WB,0,0
0.315,MYR,03/04/2019,0.320,0.300,0.300,"=""0032""",REDTONE,"828,428","2,677,500"
0.110,MYR,03/04/2019,0.000,0.000,0.000,"=""0032LA""",REDTONE-LA,0,0
0.215,MYR,03/04/2019,0.215,0.215,0.215,"=""0034""",MMAG,"15,480","72,000"
0.085,MYR,03/04/2019,0.085,0.085,0.085,"=""0034PA""",MMAG-PA,"1,275","15,000"
0.060,MYR,03/04/2019,0.060,0.060,0.060,"=""0034WB""",MMAG-WB,"15,024","250,400"
0.690,MYR,03/04/2019,0.700,0.675,0.695,"=""0035""",OPCOM,"567,547","827,400"
0.045,MYR,03/04/2019,0.000,0.000,0.000,"=""0036""",KGROUP,0,0
0.010,MYR,03/04/2019,0.000,0.000,0.000,"=""0036WB""",KGROUP-WB,0,0
0.210,MYR,03/04/2019,0.215,0.210,0.210,"=""0037""",RGB,"271,139","1,290,900"
0.155,MYR,03/04/2019,0.160,0.155,0.155,"=""0038""",PTB,"13,036","84,100"
0.520,MYR,03/04/2019,0.520,0.495,0.500,"=""0039""",GFM,"1,910,597","3,730,252"
0.205,MYR,03/04/2019,0.215,0.195,0.195,"=""0039WC""",GFM-WC,"1,681,896","8,194,034"
0.330,MYR,03/04/2019,0.335,0.330,0.335,"=""0040""",OPENSYS,"236,433","713,200"
0.250,MYR,03/04/2019,0.255,0.245,0.250,"=""0041""",MYSCM,"1,391,065","5,548,900"
0.080,MYR,03/04/2019,0.080,0.070,0.075,"=""0043""",MTRONIC,"1,036,068","13,841,485"
0.050,MYR,03/04/2019,0.050,0.050,0.050,"=""0045""",GNB,"5,000","100,000"
0.005,MYR,03/04/2019,0.000,0.000,0.000,"=""0047""",PERISAI,0,0
0.090,MYR,03/04/2019,0.095,0.090,0.095,"=""0048""",ANCOMLB,"4,566","49,900"
0.450,MYR,03/04/2019,0.450,0.435,0.450,"=""0049""",OCNCASH,"25,374","57,000"
0.235,MYR,03/04/2019,0.235,0.230,0.230,"=""0050""",SYSTECH,"31,029","133,800"
0.225,MYR,03/04/2019,0.230,0.220,0.220,"=""0051""",CUSCAPI,"1,293,841","5,771,200"
0.460,MYR,03/04/2019,0.000,0.000,0.000,"=""0053""",OSKVI,0,0
0.135,MYR,03/04/2019,0.135,0.135,0.135,"=""0054""",KARYON,"43,794","324,400"
0.100,MYR,03/04/2019,0.100,0.090,0.100,"=""0055""",SERSOL,"23,374","255,500"
0.040,MYR,03/04/2019,0.040,0.040,0.040,"=""0055WA""",SERSOL-WA,"2,000","50,000"
0.205,MYR,03/04/2019,0.205,0.205,0.205,"=""0056""",GRANFLO,"15,191","74,100"
1.460,MYR,03/04/2019,1.500,1.460,1.500,"=""0058""",JCBNEXT,"150,897","101,000"
0.300,MYR,03/04/2019,0.300,0.300,0.300,"=""0059""",ECOHLDS,"14,640","48,800"
0.165,MYR,03/04/2019,0.165,0.160,0.165,"=""0060""",VC,"102,357","620,350"
0.185,MYR,03/04/2019,0.000,0.000,0.000,"=""0064""",EFFICEN,0,0
0.465,MYR,03/04/2019,0.475,0.460,0.470,"=""0065""",EFORCE,"1,963,656","4,210,300"
0.125,MYR,03/04/2019,0.130,0.120,0.125,"=""0065WA""",EFORCE-WA,"328,725","2,722,500"
0.195,MYR,03/04/2019,0.210,0.190,0.200,"=""0066""",VSOLAR,"3,801,488","19,143,500"
0.270,MYR,03/04/2019,0.275,0.270,0.275,"=""0068""",ASDION,"749,416","2,748,400"
0.020,MYR,03/04/2019,0.020,0.015,0.015,"=""0069""",VIVOCOM,"9,941","657,575"
0.005,MYR,03/04/2019,0.000,0.000,0.000,"=""0069WC""",VIVOCOM-WC,0,0
0.005,MYR,03/04/2019,0.000,0.000,0.000,"=""0069WD""",VIVOCOM-WD,0,0
0.005,MYR,03/04/2019,0.005,0.005,0.005,"=""0069WE""",VIVOCOM-WE,"2,150","430,000"
0.030,MYR,03/04/2019,0.030,0.025,0.025,"=""0070""",MQTECH,"34,050","1,340,000"
0.005,MYR,03/04/2019,0.005,0.005,0.005,"=""0070WA""",MQTECH-WA,520,"104,000"
0.050,MYR,03/04/2019,0.050,0.050,0.050,"=""0072""",AT,"1,665","33,333"
0.005,MYR,03/04/2019,0.000,0.000,0.000,"=""0072WB""",AT-WB,0,0
0.115,MYR,03/04/2019,0.000,0.000,0.000,"=""0074""",GOCEAN,0,0
0.005,MYR,03/04/2019,0.000,0.000,0.000,"=""0074WA""",GOCEAN-WA,0,0
0.300,MYR,03/04/2019,0.320,0.300,0.315,"=""0075""",LYC,"549,425","1,819,600"
0.350,MYR,03/04/2019,0.350,0.340,0.345,"=""0078""",GDEX,"734,048","2,127,600"
0.055,MYR,03/04/2019,0.060,0.055,0.055,"=""0078WB""",GDEX-WB,"14,407","250,100"
0.200,MYR,03/04/2019,0.215,0.200,0.215,"=""0079""",ORION,"5,867,458","28,439,600"
0.125,MYR,03/04/2019,0.130,0.125,0.130,"=""0079WA""",ORION-WA,"1,252,850","9,924,100"
0.275,MYR,03/04/2019,0.280,0.270,0.280,"=""0080""",STRAITS,"2,173,345","7,913,200"
0.175,MYR,03/04/2019,0.180,0.170,0.180,"=""0080WA""",STRAITS-WA,"596,002","3,429,000"
0.145,MYR,03/04/2019,0.160,0.135,0.135,"=""0081""",MEGASUN,"209,645","1,389,700"
0.020,MYR,03/04/2019,0.030,0.010,0.015,"=""0081WA""",MEGASUN-WA,"131,451","6,558,200"
0.325,MYR,03/04/2019,0.330,0.315,0.315,"=""0082""",GPACKET,"58,355","178,800"
0.075,MYR,03/04/2019,0.080,0.075,0.080,"=""0082WB""",GPACKET-WB,"29,922","377,300"
0.585,MYR,03/04/2019,0.585,0.575,0.575,"=""0083""",NOTION,"468,895","807,200"
0.260,MYR,03/04/2019,0.260,0.250,0.250,"=""0083WC""",NOTION-WC,"13,675","52,700"
0.325,MYR,03/04/2019,0.325,0.320,0.325,"=""0084""",TECFAST,"60,512","189,002"
