Stock,Stock Name,Stock Long Name,Board,Sector
"=""0001""",SCOMNET,SUPERCOMNET TECHNOLOGIES BHD,ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""0002""",KOTRA,KOTRA INDUSTRIES BHD,MAIN MARKET,HEALTH CARE
"=""0005""",UCREST,UCREST BERHAD,ACE MARKET,TECHNOLOGY
"=""0006""",PINEAPP,PINEAPPLE RESOURCES BHD,ACE MARKET,TECHNOLOGY
"=""0007""",PUC,PUC BERHAD,ACE MARKET,TELECOMMUNICATIONS & MEDIA
"=""0007LA""",PUC-LA,PUC BERHAD - ICULS 2016/2019,LOANS,TELECOMMUNICATIONS & MEDIA
"=""0007WA""",PUC-WA,PUC BERHAD - WARRANTS A,ACE MARKET,TELECOMMUNICATIONS & MEDIA
"=""0007WB""",PUC-WB,PUC BERHAD - WARRANTS B 2016/2019,ACE MARKET,TELECOMMUNICATIONS & MEDIA
"=""0008""",WILLOW,WILLOWGLEN MSC BHD,MAIN MARKET,TECHNOLOGY
"=""0010""",IRIS,IRIS CORPORATION BHD,ACE MARKET,TECHNOLOGY
"=""0011""",BTECH,BRITE-TECH BHD,ACE MARKET,UTILITIES
"=""0012""",3A,THREE-A RESOURCES BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""0017""",M3TECH,M3 TECHNOLOGIES(ASIA)BHD,ACE MARKET,TELECOMMUNICATIONS & MEDIA
"=""0017WA""",M3TECH-WA,M3 TECHNOLOGIES (ASIA) BERHAD - WARRANTS A 2016/2019,ACE MARKET,TELECOMMUNICATIONS & MEDIA
"=""0018""",LAMBO,LAMBO GROUP BERHAD,ACE MARKET,TECHNOLOGY
"=""0018WA""",LAMBO-WA,LAMBO GROUP BERHAD - WARRANTS A 2016/2019,ACE MARKET,TECHNOLOGY
"=""0020""",NETX,NETX HOLDINGS BHD,ACE MARKET,TECHNOLOGY
"=""0020WB""",NETX-WB,NETX HOLDINGS BERHAD - WARRANTS B 2016/2019,ACE MARKET,TECHNOLOGY
"=""0021""",GHLSYS,GHL SYSTEMS BHD,MAIN MARKET,TECHNOLOGY
"=""0022""",PARLO,PARLO BERHAD,ACE MARKET,CONSUMER PRODUCTS & SERVICES
"=""0023""",IFCAMSC,IFCA MSC BHD,ACE MARKET,TECHNOLOGY
"=""0024""",JAG,JAG BERHAD,ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""0024WA""",JAG-WA,JAG BERHAD-WARRANTS A 2014/2019,ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""0024WB""",JAG-WB,JAG BERHAD - WARRANTS 2017/2020,ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""0025""",YBS,YBS INTERNATIONAL BERHAD,ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""0026""",NOVAMSC,NOVA MSC BHD,ACE MARKET,TECHNOLOGY
"=""0028""",SCOPE,SCOPE INDUSTRIES BHD,ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""0028WA""",SCOPE-WA,SCOPE INDUSTRIES BHD - WARR,ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""0029""",DIGISTA,DIGISTAR CORPORATION BHD,MAIN MARKET,TECHNOLOGY
"=""0029WB""",DIGISTA-WB,DIGISTAR CORP BHD-WB,MAIN MARKET,TECHNOLOGY
"=""0032""",REDTONE,REDTONE INTERNATIONAL BHD,ACE MARKET,TELECOMMUNICATIONS & MEDIA
"=""0032LA""",REDTONE-LA,REDTONE INTL - ICULS 2010/2020,LOANS,TELECOMMUNICATIONS & MEDIA
"=""0034""",MMAG,MMAG HOLDINGS BERHAD,ACE MARKET,TECHNOLOGY
"=""0034PA""",MMAG-PA,MMAG HOLDINGS BERHAD - ICPS A 2017/2022,ACE MARKET,TECHNOLOGY
"=""0034WB""",MMAG-WB,MMAG HOLDINGS BERHAD - WARRANTS B 2017/2022,ACE MARKET,TECHNOLOGY
"=""0035""",OPCOM,OPCOM HOLDINGS BHD,ACE MARKET,TELECOMMUNICATIONS & MEDIA
"=""0036""",KGROUP,KEY ALLIANCE GROUP BERHAD,ACE MARKET,TECHNOLOGY
"=""0036WB""",KGROUP-WB,KEY ALLIANCE GROUP BERHAD-WARRANTS B 2017/2020,ACE MARKET,TECHNOLOGY
"=""0037""",RGB,RGB INTERNATIONAL BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""0038""",PTB,PLASTRADE TECHNOLOGY BHD,ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""0039""",GFM,GFM SERVICES BERHAD,ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""0040""",OPENSYS,OPENSYS (M) BHD,ACE MARKET,TECHNOLOGY
"=""0041""",PANPAGE,PANPAGES BERHAD,MAIN MARKET,TECHNOLOGY
"=""0043""",MTRONIC,METRONIC GLOBAL BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
