Stock,Security_type,Conversion,Board
"=""639914""",Call WARRANTS,2 for 1,STRCWARR
"=""688828""",Call WARRANTS,4 for 1,STRCWARR
"=""688829""",Call WARRANTS,4 for 1,STRCWARR
"=""688830""",Call WARRANTS,5 for 1,STRCWARR
"=""688831""",Call WARRANTS,5 for 1,STRCWARR
"=""688832""",Call WARRANTS,5 for 1,STRCWARR
"=""688833""",Call WARRANTS,5 for 1,STRCWARR
"=""688834""",Call WARRANTS,5 for 1,STRCWARR
"=""688835""",Call WARRANTS,4 for 1,STRCWARR
"=""688836""",Call WARRANTS,5.5 for 1,STRCWARR
"=""688837""",Call WARRANTS,5 for 1,STRCWARR
"=""4162CM""",Call WARRANTS,30 for 1,STRCWARR
"=""4162CN""",Call WARRANTS,35 for 1,STRCWARR
"=""4162CO""",Call WARRANTS,40 for 1,STRCWARR
"=""5248C1""",Call WARRANTS,3 for 1,STRCWARR
"=""5248CY""",Call WARRANTS,3 for 1,STRCWARR
"=""5248CZ""",Call WARRANTS,2 for 1,STRCWARR
"=""339510""",Call WARRANTS,1.1 for 1,STRCWARR
"=""339511""",Call WARRANTS,1 for 1,STRCWARR
"=""339512""",Call WARRANTS,1 for 1,STRCWARR
"=""1562CW""",Call WARRANTS,3 for 1,STRCWARR
"=""1562CX""",Call WARRANTS,3 for 1,STRCWARR
"=""0508C5""",Call WARRANTS,1.5 for 1,STRCWARR
"=""181820""",Call WARRANTS,6 for 1,STRCWARR
"=""181821""",Call WARRANTS,6 for 1,STRCWARR
"=""181822""",Call WARRANTS,6 for 1,STRCWARR
"=""181823""",Call WARRANTS,7 for 1,STRCWARR
"=""0579C1""",Call WARRANTS,10 for 1,STRCWARR
"=""0501CG""",Call WARRANTS,25 for 1,STRCWARR
"=""102340""",Call WARRANTS,7 for 1,STRCWARR
"=""102341""",Call WARRANTS,6 for 1,STRCWARR
"=""102342""",Call WARRANTS,6 for 1,STRCWARR
"=""102343""",Call WARRANTS,4.7 for 1,STRCWARR
"=""102344""",Call WARRANTS,5 for 1,STRCWARR
"=""102345""",Call WARRANTS,6 for 1,STRCWARR
"=""102346""",Call WARRANTS,4.5 for 1,STRCWARR
"=""102347""",Call WARRANTS,6 for 1,STRCWARR
"=""0514C3""",Call WARRANTS,25 for 1,STRCWARR
"=""285213""",Call WARRANTS,4 for 1,STRCWARR
"=""285214""",Call WARRANTS,7 for 1,STRCWARR
"=""285215""",Call WARRANTS,5 for 1,STRCWARR
"=""727733""",Call WARRANTS,2.5 for 1,STRCWARR
"=""727735""",Call WARRANTS,3.5 for 1,STRCWARR
"=""727736""",Call WARRANTS,5 for 1,STRCWARR
"=""727737""",Call WARRANTS,3 for 1,STRCWARR
"=""727738""",Call WARRANTS,3.5 for 1,STRCWARR
"=""727739""",Call WARRANTS,3.5 for 1,STRCWARR
"=""727740""",Call WARRANTS,2.8 for 1,STRCWARR
"=""727741""",Call WARRANTS,3.5 for 1,STRCWARR
"=""727742""",Call WARRANTS,2.5 for 1,STRCWARR
"=""727743""",Call WARRANTS,4 for 1,STRCWARR
"=""727744""",Call WARRANTS,4 for 1,STRCWARR
"=""694724""",Call WARRANTS,3 for 1,STRCWARR
"=""694725""",Call WARRANTS,4 for 1,STRCWARR
"=""694726""",Call WARRANTS,4 for 1,STRCWARR
"=""694727""",Call WARRANTS,3.5 for 1,STRCWARR
"=""694728""",Call WARRANTS,4.8 for 1,STRCWARR
"=""161960""",Call WARRANTS,3 for 1,STRCWARR
"=""161962""",Call WARRANTS,3 for 1,STRCWARR
"=""161963""",Call WARRANTS,4.5 for 1,STRCWARR
"=""06506F""",#,1000 for 1,STRCWARR
"=""06506K""",#,700 for 1,STRCWARR
"=""06506L""",#,1000 for 1,STRCWARR
"=""06506M""",#,700 for 1,STRCWARR
"=""06506N""",#,300 for 1,STRCWARR
"=""06506O""",#,300 for 1,STRCWARR
"=""06506P""",#,700 for 1,STRCWARR
"=""06506Q""",#,700 for 1,STRCWARR
"=""06506R""",#,300 for 1,STRCWARR
"=""06506S""",#,300 for 1,STRCWARR
"=""06506T""",#,700 for 1,STRCWARR
"=""06506U""",#,300 for 1,STRCWARR
"=""06506V""",#,300 for 1,STRCWARR
"=""06506W""",#,1000 for 1,STRCWARR
"=""06506X""",#,700 for 1,STRCWARR
"=""06506Y""",#,700 for 1,STRCWARR
"=""06506Z""",#,300 for 1,STRCWARR
"=""06508A""",#,300 for 1,STRCWARR
"=""522255""",Call WARRANTS,2 for 1,STRCWARR
"=""522256""",Call WARRANTS,2.7 for 1,STRCWARR
"=""522257""",Call WARRANTS,3.2 for 1,STRCWARR
"=""522258""",Call WARRANTS,2 for 1,STRCWARR
"=""522259""",Call WARRANTS,3.2 for 1,STRCWARR
"=""522260""",Call WARRANTS,2 for 1,STRCWARR
"=""522261""",Call WARRANTS,3 for 1,STRCWARR
"=""522262""",Call WARRANTS,3 for 1,STRCWARR
"=""522263""",Call WARRANTS,1.8 for 1,STRCWARR
"=""522264""",Call WARRANTS,2 for 1,STRCWARR
"=""522265""",Call WARRANTS,1.8 for 1,STRCWARR
"=""522266""",Call WARRANTS,1.5 for 1,STRCWARR
"=""522267""",Call WARRANTS,1 for 1,STRCWARR
"=""522268""",Call WARRANTS,2 for 1,STRCWARR
"=""522269""",Call WARRANTS,1.8 for 1,STRCWARR
"=""522270""",Call WARRANTS,1.5 for 1,STRCWARR
"=""522271""",Call WARRANTS,3 for 1,STRCWARR
"=""522272""",Call WARRANTS,2.5 for 1,STRCWARR
"=""522273""",Call WARRANTS,2.2 for 1,STRCWARR
"=""539851""",Call WARRANTS,6 for 1,STRCWARR
"=""539853""",Call WARRANTS,4 for 1,STRCWARR
"=""539854""",Call WARRANTS,5 for 1,STRCWARR
"=""539856""",Call WARRANTS,5.2 for 1,STRCWARR
"=""539857""",Call WARRANTS,3 for 1,STRCWARR
"=""539858""",Call WARRANTS,6 for 1,STRCWARR
"=""539859""",Call WARRANTS,4 for 1,STRCWARR
"=""539860""",Call WARRANTS,5 for 1,STRCWARR
"=""539861""",Call WARRANTS,4 for 1,STRCWARR
"=""539862""",Call WARRANTS,6 for 1,STRCWARR
